idn,bbg,tit_a,tit_d,tit_Y,umfang,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
011142448,Abvz,Zeitschrift für Buchkunde,,,,,,,1155194551,,,
011151099,Abvz,Verwaltungsbericht über das ... Geschäftsjahr und Bericht über die Jahresversammlung des Deutschen Museums,,,,,,,,,,
011155892,Abvz,Minerva,Jahrbuch der gelehrten Welt,,,,,,,,,
011155981,Abvz,Who's who in America,expanded biographies,,,,,,,,,
011157984,Abvz,Zeitschrift für Kunstgeschichte,ZfK,,,,,977713636,,,,
011157984,Abvz,Zeitschrift für Kunstgeschichte,ZfK,,,,,975035274,,,,
011162031,Abvz,"Annalen des Deutschen Reiches für Gesetzgebung, Verwaltung und Volkswirtschaft","staatsrechtl., volkswirtschaftl. u. statistisches Jahrbuch ; Materialiensammlung u. Reformzeitschr",,,,,1015617522,,,,
011168110,Abvz,Historisches Taschenbuch,,,,,,1016762127,,,,
011169850,Abvz,Nordisk tidskrift för bok- och biblioteksväsen,NTBB,,,,,01971856X,,,,
011169850,Abvz,Nordisk tidskrift för bok- och biblioteksväsen,NTBB,,,,,979982936,,,,
011182261,Abvz,Rang- und Quartier-Liste der Königlich-Preußischen Armee und des XIII. (Königlich-Württembergischen) Armeekorps,für ... ; mit Dienstalters-Listen der Generalität und der Stabsoffiziere ... ; nach dem Stande vom ...,,,,,1046541269,,,,
011186380,Abvz,Der @Monat,Jahrbuch,,,,,026901757,,,,
011186380,Abvz,Der @Monat,Jahrbuch,,,,,99140808X,,,,
011188375,Abvz,Monuments et mémoires  de la Fondation  Eugène Piot,,,,,,1114766682,,,,
011188596,Abvz,Musenalmanach,,,,,,,1001978528,,,
011188715,Abvz,Museumskunde,Fachzeitschrift für die Museumswelt,,,,,1145351697,105465624X,,,
011189819,Abvz,Mémoires couronnés par l'Académie Royale des Sciences et Belles-Lettres de Bruxelles,,,,,,1059523884,,,,
01119104X,Abvz,Scriptorium,revue internationale des études relatives aux manuscrits,,,,,1071237357,,,,
01119104X,Abvz,Scriptorium,revue internationale des études relatives aux manuscrits,,,,,97578899X,,,,
011197757,Abvz,Ulrich's periodicals directory,the global source for periodicals information since 1932 ; including irregular serials & annuals,,,,,019030118,,,,
011198842,Abvz,Minerva-Zeitschrift,Nachrichten für die gelehrte Welt,,,,,,,011155892,,
011200626,Abvz,Literarischer Jahresbericht des Dürerbundes und der Deutschen Zentralstelle für Volkstümliches Büchereiwesen,,,,,,,,011254394,1032940727,Qd
011200626,Abvz,Literarischer Jahresbericht des Dürerbundes und der Deutschen Zentralstelle für Volkstümliches Büchereiwesen,,,,,,,,011254394,1032940727,Leipzig
011200626,Abvz,Literarischer Jahresbericht des Dürerbundes und der Deutschen Zentralstelle für Volkstümliches Büchereiwesen,,,,,,,,011254408,1032940727,Qd
011200626,Abvz,Literarischer Jahresbericht des Dürerbundes und der Deutschen Zentralstelle für Volkstümliches Büchereiwesen,,,,,,,,011254408,1032940727,Leipzig
011201509,Abvz,Reformations-Almanach,auf das Jahr ...,,,,,1047432420,,,,
011201967,Abvz,Annual report of the Bureau of American Ethnology to the Secretary of the Smithsonian Institution,,,,,,,,,,
01120317X,Abvz,Velhagen & Klasings Monatshefte,,,,,,990781836,,,,
011203501,Abvz,Die @Musik,Organ des Amtes Musik beim Beauftragten des Führers für die Überwachung der gesamten geistigen und weltanschaulichen Schulung und Erziehung der NSDAP,,,,,,1081531495,,,
011212268,Abvz,Parteitag der Sozialdemokratischen Partei Deutschlands,,,,,,987798928,,,,
011212268,Abvz,Parteitag der Sozialdemokratischen Partei Deutschlands,,,,,,010061088,,,,
011212268,Abvz,Parteitag der Sozialdemokratischen Partei Deutschlands,,,,,,987798928,,,,
011212268,Abvz,Parteitag der Sozialdemokratischen Partei Deutschlands,,,,,,01390809X,,,,
011212268,Abvz,Parteitag der Sozialdemokratischen Partei Deutschlands,,,,,,01207053X,,,,
011221712,Abvz,Almanach des muses,ou choix des poésies fugitives,,,,,1046059165,,,,
011221798,Abvz,Almanach dramatischer Spiele zur geselligen Unterhaltung auf dem Lande,,,,,,1046052594,,,,
011225890,Abvz,Anschriften deutscher Verlage,ausländische Verlage mit deutschen Auslieferungsstellen,,,,,,,,,
011228024,Abvz,Archiv für die Geschichte des Sozialismus und der Arbeiterbewegung,,,,,,027366790,,,,
011229667,Abvz,Simplicissimus,,,,,,983270090,,,,
011230851,Abvz,Atlantis,"Länder, Völker, Reisen",,,,,,,,,
011236663,Abvz,Din-Normblatt-Verzeichnis,abgeschlossen mit Ausg. ... d. Din-Mitteilungen,,,,,,,,,
01123802X,Abvz,Du,die Zeitschrift der Kultur,,,,,1031099387,,,,
01123802X,Abvz,Du,die Zeitschrift der Kultur,,,,,1031726071,,,,
011240253,Abvz,Forschungen und Fortschritte,Nachrichtenblatt der deutschen Wissenschaft und Technik,,,,,,,,,
011241608,Abvz,Bibliographie zur oberösterreichischen Geschichte,,,,,,988427095,,,,
011241659,Abvz,Internationale Bibliographie des Buch- und Bibliothekswesens,mit besonderer Berücksichtigung der Bibliographie,,,,,,,,,
011241861,Abvz,Bibliographie der deutschen Rezensionen mit Einschluß von Referaten und Selbstanzeigen,,,,,,,,011241888,,
011241888,Abvz,Bibliographie der deutschen Zeitschriftenliteratur,mit Einschluß von Sammelwerken,,,,,,,,,
011241896,Abvz,Bibliographie der deutschen Zeitschriftenliteratur,mit Einschluß von Sammelwerken,,,,,,,,,
01124190X,Abvz,Bibliographie der deutschen Zeitschriftenliteratur,mit Einschluß von Sammelwerken,,,,,,,011241888,,
011241918,Abvz,Bibliographie der fremdsprachigen Zeitschriftenliteratur,,,,,,,,,,
011242116,Abvz,Volkskundliche Bibliographie,für d. Jahre ...,,,,,,1237385601,,,
011244518,Abvz,Allgemeine deutsche Bibliothek,,,,,,025303007,02702105X,,,
011244526,Abvz,Neue allgemeine deutsche Bibliothek,,,,,,027021106,,,,
011244704,Abvz,Sozialistische Bildung,"Monatsschr. d. Reichsausschusses für Sozialistische Bildungsarbeit, Berlin",,,,,,,,,
011247029,Abvz,Arbeiterbildung,,,,,,,,011247010,,
011248777,Abvz,Handbuch für das Deutsche Reich,,,,,,,1176562622,,,
011249048,Abvz,Literarischer Handweiser,kritische Monatsschrift,,,,,1046550004,,,,
011251875,Abvz,Hof- und Staats-Handbuch des Grossherzogthums Baden,,,,,,1046541013,,,,
011252545,Abvz,Kawe-Katalog,,,,,,,,,,
011252812,Abvz,Kladderadatsch,das deutsche Magazin für Unpolitische,,,,,026111403,,,,
011253851,Abvz,Die @graphischen Künste,,,,,,991330781,,,,
011254297,Abvz,Kunstchronik und Kunstmarkt,Wochenschrift für Kenner und Sammler,,,,,,1084219182,011157976,,
011254394,Abvz,Der @Kunstwart,"Monatshefte für Kunst, Literatur und Leben",,,,,1007346094,,,,
011256680,Abvz,Literarisches Zentralblatt für Deutschland,,,,,,019897553,,,,
011256680,Abvz,Literarisches Zentralblatt für Deutschland,,,,,,1046543075,,,,
011265205,Abvz,Die @neue Literatur,,,,,,,,,,
011270918,Abvz,Die @Gartenlaube,illustrirtes Familienblatt,,,,,,1007759232,,,
011273453,Abvz,Gesetz- und Verordnungsblatt für das Königreich Sachsen,,,,,,995588430,,,,
011273585,Abvz,Gesetzsammlung für die Königlich-Preußischen Staaten,enth. d. Verordnungen vom ..,,,,,013188593,,,,
011273585,Abvz,Gesetzsammlung für die Königlich-Preußischen Staaten,enth. d. Verordnungen vom ..,,,,,01318878X,,,,
011273585,Abvz,Gesetzsammlung für die Königlich-Preußischen Staaten,enth. d. Verordnungen vom ..,,,,,104925810X,,,,
011275979,Abvz,Biographisches Jahrbuch und deutscher Nekrolog,,,,,,,,,,
011278404,Abvz,Almanach der deutschen Musen,auf das Jahr ..,,,,,,1049767640,,,
011279931,Abvz,Dansk bogfortegnelse,,,,,,1059536226,,,,
011281022,Abvz,Jahrbuch des Museums für Völkerkunde zu Leipzig,,,,,,,,,,
011281502,Abvz,Jahrbuch der Deutschen Demokratischen Republik,,,,,,,,,,
