idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1003119964,Aal,1826,"Wanderbuch für den Papiermachergesellen Johann Gottfried Wurlitzer aus Remtengrün im Voigtlande, [betr. 1838 - 1843]",,,,,,,,,
1003144284,Aal,1680,Progressus Academiae Naturae Curiosorum,Catalogo patronorum et collegarum expressus,,,,,,,,
1003171567,Afl,1784,Weber,Johann Gottfried,"Allgemeine Anweisung der neuesten Schönschreibkunst des Johann Gottfried Weber. Für d. Jugend hohen u. niederen Standes, desgl. f. andere Liebhaber eines schönen Feder u. f. Frauenzimmer",Nachtr.,,,,,,
1003171788,Afl,1780,Weber,Johann Gottfried,"Allgemeine Anweisung der neuesten Schönschreibkunst des Johann Gottfried Weber. Für d. Jugend hohen u. niederen Standes, desgl. f. andere Liebhaber eines schönen Feder u. f. Frauenzimmer",[Bd. 1.],,,,,,
1003198708,Aal,1500,Ne Italo cedere videamur,,,,,,,,,
1003201601,Afl,1789,Wehrs,Georg Friedrich,"Vom Papier, den vor der Erfindung desselben üblich gewesenen Schreibmassen, und sonstigen Schreibmaterialien",Hauptw.,,,,,,
1003240232,Aal,1816,"Verzeichniß der größtentheils historischen, philologischen und völkerrechtlichen Büchersammlung",,,,,,,,,
1003301061,Aal,1791,Ernst Christian Westphals systematische Anleitung zur Kenntniß der besten Bücher in der Rechtsgelahrtheit und in den damit verbundenen Wissenschaften,,,,,,,,,
100333427X,Aal,1724,"Nöthige Freytags-Arbeit, oder Katechetische Fragen und 52 geistreiche Andachten, über die Heil. Passion Jesu Christi ...",,,,,,,,,
1003371264,Aal,1744,Pacht-Contracte über die Papiermühle,,,,,,,,,
1003383211,Aal,1783,A @Specimen of Printing Types,the above are some of the sizes cast in the Letter Foundry of Dr. Alex. Wilson and Sons. Glasgow 1783,,,,,,,,
1003403875,Aal,1817,"Geschichte der Bildung, Beraubung und Vernichtung der alten Heidelbergischen Büchersammlungen",Beitr. z. Literärgeschichte vornehml. d. 15. u. 16. Jh. ; Nebst e. beschreib. Verz. d. 1816 von Pius VII ... zurückgegeb. Handschriften u. einigen Schriftproben ,,,,,,,,
1003452795,Afl,1793,,,Catalogus bibliothecae Wittwerianae,,P. posterior,,,,,
1003453139,Aal,1794,Bibliotheca a Philippo Ludovico Wittwero ... a. d. 15. Sept. et seqq. a. 1794 Norimbergae publicae auctionis ritu divendenda,,,,,,,,,
