idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g,4201
1001541375,Aal,1920,Zur Entwicklung der modernen Graphik,,,,,,,,,,in: Graphik moderner Künstler. Text
1001553527,Aal,1827,"Observations sur lʹOrdonnance du 1. septembre 1827, interprétative du règlement de 1723, relatif à la librairie",,,,,,,,,,in: Histoire judiciaire de lʹOrdonnance interprétative du règlement de 1723. Paris 1928
1001553977,Aal,1934,Inventory of Berkeleyʹs manuscript remains,,,,,,,,,,"in: Jessop, Thomas Edmund: A Bibliography of George Berkeley"
1001602692,Aal,1845,Une @histoire de Paris,,,,,,,,,,in: Le Diable à Paris. Bd. 1
1001603222,Aal,1578,Sectarum historia,,,,,,,,,,in: Manuel I. Comnenos: Legatio ad Armenios
100160363X,Aal,1660,"Vita B. Ioannis a Caramola Tolosani, conversi Sagittariensis monasterii, congregations B. Mariae Virginis utriusque Calabriae et Lucaniae, sacri Cisterciensis ordinis",,,,,,,,,,"in: Lauro, Gregorio de Laude: B. Ioannis Ioachimi ... alethia hergasiarum apologetica"
1001604016,Aal,1967,On the Rebinding of old books,,,,,,,,,,in: Bookbinding in America
1001604237,Aal,1705,Opus de origine familiarum illustrium insigniumque dominorum cujuscunque loci,,,,,,,,,,in: Le Roy: Brabantia illustrata [Castella et praetoria nobilium Brabantiae]
1001604369,Aal,1678,Discours moraux,,,,,,,,,,"in: Vaenius, Otho: Le Theâtre moral de la vie humaine [Q. Horati Flacci Emblemata, franz.]"
1001604547,Aal,1729,"Pensées hazardées sur les études, la grammaire, la rethorique et la poe͏̈tique",,,,,,,,,,"in: Swift, Jonathan: Le grand Mistère, ou lʹart de méditer sur la garderobe"
1001604695,Aal,1619,Orationes politicae,,,,,,,,,,"in: Orationes politicae Dinarchi, Lycurgi, Lesbonactis, Herodis, Demadis"
1001604946,Aal,1813,Rapport sur une machine à fabriquer du papier en feuilles de toutes qualités et de toutes proportions ...,,,,,,,,,,"in: Leschevin: Rapports lus à lʹacadémie des sciences, arts et belles-lettres, de Dijon. 1815"
1001605152,Aal,1813,Rapport sur une machine à fabriquer de papier en feuilles dʹune lonquer indéterminée,,,,,,,,,,"in: Leschevin: Rapports lus à lʹacadémie des sciences, arts et belles-lettres, de Dijon. 1815"
1001605853,Aal,1914,"Enchiridion geistlicher gesenge und Psalmen für die leinen, mit viel andern, denn zuvor gebessert ...",,,,,,,,,,"in: Hofmann, Hans: Das erste Leipziger Gesangbuch von Michael Blume. 1914"
1001606396,Aal,1550,"Von dem grewel der|| Stillmesse, so mann den Canon|| nennet. Marth. Luth. D.",,,,,,,,,,"in: Flacius Jllyricus, Matthias: Zwey Capitel Polydori Virgilij vom Namen vnd Stifftern der Mess ..."
1001606906,Aal,1771,"Der @kleine Catechismus, ohne u. mit d. Auslegung, nebenst d. Fragstücken u. Haustafel vor d. christliche Gemeine",,,,,,,,,,in: Vollständiges Kirchenbuch
1001607171,Aal,1825,Kleiner Catechismus,,,,,,,,,,"in: Episteln und Evangelia auf alle Sonn-, Fest- und Feiertage durchs ganze Jahr"
1001620895,Aal,1660,"Magni divinique prophetae B. Ioannis Ioachim abbatis, sacri Cisterciensis ordinis, monasterii Floris et Florensis ordinis institutoris, Vaticiniorum de apostolicis viris, sive de romanis pontificibus historica et symbolica explicatio",,,,,,,,,,"in: Lauro, Gregorio de Laude: B. Ioannis Ioachimi ... alethia hergasiarum apologetica"
1001631234,Aal,1856,Nachträge zur Lachmannʹschen Ausgabe von Lessingʹs Werken,,,,,,,,,,"in: Danzel, Theodor Wilhelm: Gotthold Ephraim Lessing, sein Leben und seine Werke"
1001638999,Aal,1951,Slavonic manuscript Vocabularies in the Bodleian Library,,,,,,,,,,in: Oxford Slavonic Papers. Vol. 2. 1951. 8°
1001648382,Aal,1696,Psalmen Davids samt den Kirchengesängen und geistlichen Liedern,,,,,,,,,,"in: Die Psalmen Davids [Psalmi, dt.]"
1001648404,Aal,1855,[Jen-Pierre de] Béranger,[Notice biographique],,,,,,,,,"in: Moulinet, J. E. V.: Album du typographie. Paris [um 1855 - um 1870]: Paul Dupont. 2°"
1001648439,Aal,1927,Die @verwaltungstechnische Einrichtung der städtischen Bücher- und Lesehalle,,,,,,,,,,"in: Osnabrück, 25 Jahre Städtische Bücher- und Lesehalle"
100165160X,Aal,1827,Martin Luthers kleiner Catechismus und christliche Fragstücke,Sammt angehängten Gebeten f. d. Schul-Jugend,,,,,,,,,"in: Schulbuechlein, Neu eingerichtetes Ebersdorfer. Schleiz 1827"
1001655044,Aal,1901,"Georg Christoph Lichtenbergs Erklärungen zu Daniel Chodowieckis Monatskupfer zum ""Göttinger Taschen Calender"", 1778 - 1783",,,,,,,,,,"in: Chodowiecki, Daniel: Chodwiecki und Lichtenberg. Hrsg. v. Rudolf Focke. Leipzig 1901. 4°"
1001675819,Aal,1898,Die @Geschichte des Vereines der österr.-ungar. Papierfabrikanten 1872 - 1898,,,,,,,,,,in: Markowich: Die österreichische Papierindustrie und ihre Entwicklung unter der Regierung Seiner Majestät des Kaisers Franz Josef I.
1001711211,Aal,1520,Polyistōra,,,,,,,,,,"in: Camers, Johann: In C. Julii Solini Polyistōra enarrationes"
1001719972,Aal,1760,[Schreibvorlagen],"Liverloz, Baillieul graveur, Lz, Bl",,,,,,,,,"in: Royllet, Sébastien: Vorschriften"
1001720253,Aal,1585,"Christophori Longolii ad Lutherianos quosdam oratio, annos abhinc LIV. formis expressa",,,,,,,,,,"in: Osorio da Fonseca, Jeronimo: De religione libri III"
1001720571,Aal,1941,Vesser und Veßra,,,,,,,,,,in: Lorentzen: Ursprung und Anfänge der Stadt Schleusingen
1001731972,Aal,1619,Mythologia Musarum,,,,,,,,,,"in: Conti, Natale: Mythologiae, sive Explicationis fabularum, libri decem"
1001753968,Aal,1730,"Ad Andream Morellium epistolae tres, quibus numi quidam rariores thesauri quondam Schwartzburgici hodie Fridericiani, illlustrantur",,,,,,,,,,"in: Liebe, Christian Sigismund: Gotha numaria"
1001763289,Aal,1931,Schweizerische Bibliographie der Jugendhilfe,,,,,,,,,,in: Schweizerisches Jahrbuch d. Jugendhilfe. Bd. 14. 1931-1932. S. 174 - 180
1001794737,Aal,1960,"Wolf Endter, Buchhändler, Drucker, Kaufherr aus Nürnberg",,,,,,,,,,"in: Die Stimme Frankens. Jg. 26.1960. Nr 3/4, S. 82 - 86 m. Abb."
1001803833,Aal,1840,Der @typographische Greif,,,,,,,,,,"in: Mohnike, Gottlieb: Die Geschichte der Buchdruckerkunst in Pommern. 1840"
1001805968,Aal,1925,Romanische Sprachen und Literaturen,,,,,,,,,,in: Englische und amerikanische Sprache und Literatur
1001806115,Aal,1925,Slawische Sprachen und Literaturen,,,,,,,,,,"in: Sprache, Englische und amerikanische, und Literatur"
1001809343,Aal,1890,Die @Aufgaben der graphischen Künste,,,,,,,,,,"in: Nieper, Ludwig: Die Königl. Kunstakademie u. Kunstgewerbeschule in Leipzig. Festschrift u. amtl. Bericht. 1890"
1001809769,Aal,1881,Die @Stellung des modernen Künstlers zu den Stilmustern,Vortrag,,,,,,,,,"in: Bericht, Amtlicher. Kgl. Kunstakademie ... Leipzig 1881"
1001860276,Aal,1900,"Tägliches Gebetbüchlein für Schwangere, Gebärende, und Wöchnerinnen",,,,,,,,,,in: Starck: Tägliches Handbuch in guten und bösen Tragen
1001874730,Aal,1614,"Der @Juden zu Franckfurt Stättigkeit und Ordnung, wie dieselbe so wol von uhralten Jahren hero, als hernacher biß auff das Jahr 1613 gefunden worden",,,,,,,,,,in: Privilegia der heiligen Reichsstadt Frankfurt a.M. Frankfurt a.M. 1614
1001877101,Aal,1929,Eine @Auswahl aus seinem Schrifttum,[Teils],,,,,,,,,in: Furche-Almanach. 1929
1001898834,Aal,1870,Statut für die mit der Jenaischen Krankenkasse für Buchdrucker und Schriftgießer verbundene Invalidenkasse,,,,,,,,,,in: Statut der Allgemeinen Kranken-Unterstützungskasse für Buchdrucker und Schriftgießer zu Jena. Umgearb. Aufl. v. 1869
1001907442,Aal,1891,Original-Probe der Ausstattung seiner Druckwerke,1) Papier mit dem Zeichen des Ochsenkopfs; 2) Der Druck; 3) Arbeiten der Illuminatoren und Rubricatoren,,,,,,,,,in: Lempertz sen. Heinrich: Beiträge z. Gesch. d. Leinen-Papiers. [1. Aufl.] 1. 1891
1001907949,Aal,1690,"Statuta synodica, in ecclesiis Pomeraniae, promulgata in synodo Gryphenhagiâ",,,,,,,,,,in: Barnim XI. Herzog v. Pommern: Kercken-Ordeninge im Lande tho Pamern
1001916212,Aal,1752,Von der holdseligen Liebe Gottes,,,,,,,,,,"in: Arndt, Johann: Sechs Bücher vom wahren Christentum. 1753"
1001918444,Aal,1893,"Statuten der Typographischen Gesellschaft zu Leipzig, gegründet 12. Februar 1877",,,,,,,,,,"in: Verzeichnis der in den Sammlungen der Typographischen Gesellschaft zu Leipzig enthaltenen Bücher, ... Nachtr. 1.1893"
1001921976,Aal,1926,Büchlein der Pestilenz||,B°uchlin der ordnung|| wie sich der mensch halten sol|| zu den zy͏̈ten diser grusenlichen kranckheit|| ,,,,,,,,,in: Die ersten gedruckten Pestschriften
1001952855,Aal,1619,Oratio adversus Leocratem,Graece ac Lat.,,,,,,,,,"in: Orationes politicae Dinarchi, Lycurgi, Lesbonactis, Herodis, Demadis"
1001980964,Aal,1894,Der @Erbe von Ballantrae,,,,,,,,,,"in: Gerbrand, Marie: Sich selber treu"
1001986393,Aal,1645,Notae uberiores in historiam Danicam Grammatici una cum prolegomenis ad easdem notas,,,,,,,,,,in: Saxo Grammaticus: Historiae Danicae libri XVI. Sorae: Joachim Moltken 1644; nicht im VD17
1001987853,Aal,1940,Gutenberg in Mainz,ein Schauspiel in 3 Akten ; Uraufgeführt im Gutenberg-Jubiläumsjahr zu Leipzig,,,,,,,,,in: Meisterschueler-Kalender. 1940
1001996259,Aal,1933,The @first Decade of printing in the royal province of South Carolina,,,,,,,,,,"in: Transactions of the Bibliographical Society. New Series Vol. XIII, 1933. No. 4"
1002013224,Aal,1958,Papyrus war ein vielseitiger Werkstoff,,,,,,,,,,"in: Wissen und Leben. 1958. H. 3, S. 202 - 203. 8°"
1002023653,Aal,1933,Das @Rezensionsexemplar,,,,,,,,,,"in: Zeitschrift f. Rechtspflege in Bayern. Jg. 29. 1933, Nr. 2, S. 17 - 21"
1002048192,Aal,1727,Rhythmus antiquus Germanicus de Caroli Magni expeditione Hispanica,,,,,,,,,,"in: Schilter, Johann: Thesaurus antiquitatum Teutonicarum ... T. 2. 1728"
1002068096,Aal,1898,Nomina urbium typographiis insignium,,,,,,,,,,"in: Šafařík, P. C. : Beiträge zum Studium von Bibliothekseinrichtungen ..."
1002074959,Aal,1822,Buchdruckersünden und Korrektoren-Unfug,eine nothwendige Beil. zu Struveʹs Schrift über die lateinische Declination u. Conjugation,,,,,,,,,"in: Struve: Ueber die lateinische Declination und Conjugation, 1823"
100208511X,Aal,1914,Rechtsfragen auf der Gebiete der Bekämpfung der Schundliteratur,,,,,,,,,,"in: Zum gesetzlichen Kampf, gegen die Schundliteratur"
1002091624,Aal,1598,"Ad illustrissimum principem Guilielmum Ducem Iuliacensium, Clivensium, Montensium ... Ioannis Sturmii de educatione principis",,,,,,,,,,"in: Heresbach, Konrad: De educandis atque erudiendis principum liberis"
1002094402,Aal,1886,Svenska Tidningar od tidskrifter utgifna inom Nord-Amerikas Förenta Stater,Bibliografisk Öfversigt,,,,,,,,,"in: Handlingar, Kung[liga] Bibliotekets. 8"
1002110912,Aal,1926,Der @Ulmer Stadtarzt und Schriftsteller Heinrich Steinhöwel,,,,,,,,,,in: Die ersten gedruckten Pestschriften
1002112648,Aal,1909,Der @Entwurf des Bucheinbandes,,,,,,,,,,"in: Kersten, Paul: Der exakte Bucheinband"
1002125235,Aal,1929,Om Kungl[iga] Bibliotekets äldre Kataloger,,,,,,,,,,"in: Handlingar, Kungl. Bibliotekets. 42"
1002162815,Aal,1744,Beschreibung von der Stadt Basel,,,,,,,,,,"in: Totentanz [Basler Version, dt. u. franz.]"
1002179602,Aal,1669,Vom Stein der Weisen,,,,,,,,,,"in: Flamel, Nicolaus: [Figures hiéroglyphiques, comme il les a mises en la 4e arche du Cimetière Saints Innocens de Paris, dt.] o. O. 1669"
1002179637,Aal,1669,Vom Stein der Weisen,,,,,,,,,,"in: Flamel, Nicolaus: [Figures hiéroglyphiques, comme il les a mises en la 4e arche du Cimetière Saints Innocens de Paris, dt.] o. O. 1669"
1002180104,Aal,1551,"De laudibus calvitij, Joanne Phrea Birtanno interprete, cum scholijs Beati Rhenani",,,,,,,,,,"in: Erasmus Roterodamus, Desiderius: Moriac encomicum, id est stulticiae laudatio, ludicra declamatione tractata"
1002181399,Aal,1683,"Tibère, discours politiques sur Tacite du Sieur De La Mothe-Josseval, DʹAronsel",,,,,,,,,,"in: Amelot de la Houssaie, Abraham Nicolas: Tibère, discours politiques sur Tacite. - [Ausz.]"
1002188563,Aal,1973,Kuma no shûren,,,,,,,,,,"in: Kano, Mitsuo: Budodan - henzai hoi ni s tsuite. Tokyo 1973"
1002209390,Aal,1848,"Tarif für die Buchdrucker-Gehülfen zu Leipzig, gültig vom 1. Juli 1848 an bis auf Widerruf",,,,,,,,,,in: Statut für die Buchdrucker-Innung zu Leipzig. (1854)
1002223369,Aal,1784,Missae propriae novissimae pro dioecesi Augustana,,,,,,,,,,in: Missale romanum
1002257948,Aal,1840,An @Essay on satirical fiction [and life of Jonathan Swift],,,,,,,,,,"in: Swift, Jonathan: Travels into several remote nations of the world by Lemuel Gulliver"
1002268915,Aal,1880,Kongl[iga] Bibliotekets Samling af Svenska brefvexlingar,,,,,,,,,,"in: Handlingar, Kung[liga] Bibliotekets. 2."
1002272351,Aal,1938,"Die @Belehnungen der deutschen Fürsten durch Maximilian I. auf dem Reichstag zu Worms, am 14. Juli 1495",,,,,,,,,,in: Drei Früchdrucke zur Reichsgeschichte. 1938
1002272483,Aal,1938,"Erwählung Maximilians zum Römischen König zu Frankfurt a.M., am 16. Februar 1486",,,,,,,,,,in: Drei Früehdrucke zur Reichsgeschichte. 1938
1002272556,Aal,1846,Der @Theuerdank nach der 2. Ausg. von 1519 mit den sämlt. 118 Holzschn. in verjüngtem Maßstabe,,,,,,,,,,"in: Scheible, J.: Das Kloster, weltlich und geistlich. Bd. 4. Zelle 13"
1002272750,Aal,1930,Der @Verlag Johann Ambrosius Barth seit 1890,Bericht und zugleich Selbstschilderung,,,,,,,,,"in: Barth, Johann Ambrosius, Leipzig 1780. 1930"
1002332354,Aal,1596,Theocriti Syracusii Idylla et epigrammata quae extant,,,,,,,,,,"in: Casaubonus, Isaac: Theocriticarum lectionum libellus"
1002332494,Aal,1891,Bibliographische Zusammenstellung der gedruckten Schriften Butzerʹs,,,,,,,,,,in: Zur 400 jährigen Geburtsfeier Martin Butzerʹs
1002332524,Aal,1931,Vom deutschen Sortimentsbuchhandel,,,,,,,,,,in: Merkbuch [d.] Görres-Buchh. Saarbrücken
1002332591,Aal,1969,"Litteratum latinarum, quas italicas, cursoriasque vocat, scribendaru ratio",,,,,,,,,,"in: Osley, A. S.: Mercator"
1002332621,Aal,1572,"Repugnantia, qua pro Galeno strenue pugnatur",,,,,,,,,,"in: Guilandinus, Melchior: Papyrus"
1002333083,Aal,1826,Caractères,,,,,,,,,,"in: La Bruyére, Jean de: Les Caractères"
1002333415,Aal,1934,Geschichte der Papierbetriebe in Niederösterreich,,,,,,,,,,in: Gutenberg-Jahrbuch 1934. S. 28 - 61. 4°
1002385377,Aal,1698,[Exempel oft materie boeck om te leeren schrijven in diursche manieren,"door mij Meester Jacob Thijssens den ii. Julij Anno 1699] ; [Handgeschrieb. Schreibvorlagen in d. Abfolge eines vorgedruckt. Holzschn.-Initial-Alphabetes ; Thʹs Besitzvermerk auf d. vergebund. Pergmtumschlag aus zeitgenöss. Hs. Makulatur u. auf d. Holzschn.-Titel:] ""Meester Jacobus Thijssens hoort dit boc Anno 1698 den 16d c. briss""",,,,,,,,,"in: Vollevens, Isaac: Nouvel ABC. Antwerpen: Jac. de Bodt. kl. qu. 8"
1002390613,Aal,1772,Opera,,,,,,,,,,"in: Catullus, Gaius Valerius: Opera [Werke]"
1002437547,Aal,1679,"Pest-Ordnung, oder der gantzen Gemein nutzlicher Bericht und Gutachten von der ...",Pestilentz in genere,,,,,,,,,in: Pestbeschreibung und Infectionsordnung. Wien 1727
1002437644,Aal,1701,"Libri II.,  de legibus, et de senatu",,,,,,,,,,"in: Rosinus, Johannes: Antiquitatum Romanarum corpus absolutissimum"
1002452511,Aal,1957,A @Dictionary of printers and printing,,,,,,,,,,"in: Siegfried, Laurance B.: William Bulmer and the Shakespeare Press. - [Ausz., Neudr.]"
1002456339,Aal,1740,Annales typographici,ab artis inventae origine ad annum 1664,,,,,,,,,"in: Leich, Johann Heinrich: De origine et incrementis typographiae Lipsiensis liber singularis. 1740"
1002472318,Aal,1726,Conjectura verosimilis de prima typographiae inventione,,,,,,,,,,in: Toland: A Collection of several pieces. [Teils]
1002476003,Aal,1712,"Der @Curiose Mahler, welcher nicht allein alle Zubereitung so wol der Oehl- als Wasser-Farben; sondern auch ... lehret",,,,,,,,,,in: Der curiose Schreiber
1002482879,Aal,1710,Historie der Stadt Eisenach,,,,,,,,,,in: Staat des Fürstenthums Eisenach
100248328X,Aal,1924,Herr und Knecht,,,,,,,,,,"in: Tolstoj: Die Kreutzersonate [Krejcerova sonata, dt.] Berlin 1924"
1002485614,Aal,1561,Les @remonstrances de nature à lalchymiste errant,,,,,,,,,,"in: Transformation, de la, metallique, trois anciens tractez"
1002489792,Aal,1674,Philosophia S. Scripturae,,,,,,,,,,"in: Spinoza, Baruch de: Tractatus theologico-politicus"
100248989X,Aal,1952,A @descriptive Catalogue of the William Pyle Philips Collection,,,,,,,,,,in: William Pyle Philipps Collection in the Haverford College Library. Haverford 1952. 8°
1002489911,Aal,1925,Mineralogie,,,,,,,,,,in: Geologie und Paläontologie
1002494877,Aal,1746,"Manuale de preparatione ad mortem, das ist",Sonderlicher Handgriff zur heilsamen Trostbereitung,,,,,,,,,in: Moeller: Praxis evangeliorum
1002494974,Aal,1746,"Soliloquia, das ist",Heilige Betrachtung des Lebens und Sterebens unseres Herrn und Heilandes Jesu Christi,,,,,,,,,in: Moeller: Praxis evangeliorum
100250712X,Aal,1941,Welcher Farbton soll den farbigen Druck umgeben?,,,,,,,,,,in: Berger & Wirth: Konvolut betr. Druckfarbenherstellung u. -Anwendung. Nr. 6
1002510694,Aal,1908,Die @Missaldrucke Peter Schöffers und seines Sohnes Johann,,,,,,,,,,in: Veröffentlichungen der Gutenberg-Gesellschaft. 5 - 7
1002510767,Aal,1860,Brief an Wolfgang Hopl,1505,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
1002563631,Aal,1727,Danielis Guil. [Wilhelm] Molleri Dissertatis de typographis,,,,,,,,,,"in: Zeltner, Gustav Georg: Kurtz-gefaßte Historie der gedruckten Bibel-Version und anderer Schriften D. Mart. Lutheri, in der Beschreibung der Lebens und fatorum Hanns Lufft ... 1727"
1002564921,Aal,1888,"Übereinkunft, betreffend die Bildung eines internationalen Verbandes zum Schutze von Werken der Litteratur und Kunst",,,,,,,,,,"in: Dambach, Otto: Welche Förmlichkeiten müssen von den deutschen Urhebern und Verlegern beobachten werden, um den Schutz gegen Nachdruck, Nachbildung, Übersetzung ... zu erlangen?"
100256509X,Aal,1911,"Uebereinkunft der schweizerischen Buchhandlungen betreffend den Verkehr unter einander, mit dem Publikum und mit Wiederverkäufern",,,,,,,,,,in: Satzungen. Schweizerischer Buchhändler-Verein
1002603714,Aal,1922,Probe einer neuen Art Deutscher Lettern,,,,,,,,,,"in: Bogeng, Gustav Adolf Erich: Die Unger-Fraktur. Heidelberg 1922"
1002609763,Aal,1503,Poggi Florentini Epistola ad Leonardum Aretinum de morte Hieronymi Hus Bohemi,,,,,,,,,,in: Pius II. Papa: Cosmographia [Historia rerum ubique gestarum]
1002613698,Aal,1960,"Krippen Bad Schandau und Friedrich Gottlob Keller, der Erfinder des Holzschliffs",,,,,,,,,,"in: Heimatblätter, Sächsische. 6 (1960), 7. S. 452 - 453. 8°"
1002636817,Aal,1948,Subasta de mi biblioteca,,,,,,,,,,"in: Nodier, Charles: El bibliomano [Le Bibliomane, span.]"
1002659620,Aal,1719,"Catalogue des livres, qui se trouvent chès Boudouin Jansson Vander Aa, Marchand libraire à Leide",[Verlagsanzeige],,,,,,,,,"in: Barbier, Marie-Anne: Les tragédies et autres poésies. Nouv. éd. Leide: Boudouin Jansson Vander Aa 1719. kl. 8°"
100268188X,Aal,1598,Censura in Berosum,,,,,,,,,,"in: Nanni, Giovanni: Historia antiqua"
1002682509,Aal,1767,Institutions militaires,,,,,,,,,,in: Vegetius Renatus: De re militari
1002686733,Aal,1778,Diatribe de origine et incrementis artis typographicae in urbe Augusta Vindelica,,,,,,,,,,"in: Zapf, Georg Wilhelm: Annales typographiae Augustanae ab ... 1466 usque ad 1530"
1002692296,Aal,1908,Zu den Bücheranzeigen Peter Schöffers,,,,,,,,,,in: Veröffentlichungen der Gutenberg-Gesellschaft. 5 - 7
100269860X,Aal,1949,The @Art of printing,,,,,,,,,,"in: Morison, Stanley: The typographic Arts"
1002700639,Aal,1813,"Rapport de la séance extraordinaire, du 12 juin 1813 à lʹacadémie des sciences, arts et belles-lettres, de Dijon",,,,,,,,,,"in: Leschevin: Rapports lus à lʹacadémie des sciences, arts et belles-lettres, de Dijon. 1815"
1002700744,Aal,1860,Brief an Erasmus von Rotterdam,1532,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
1002701708,Aal,1629,Epistola Thomae Mori ad Martino Dorpio,,,,,,,,,,"in: Erasmus Roterodamus, Desiderius: Encomium moriae. Amsterdam 1629"
1002701767,Aal,1536,Fragmenta quarundam Tho. Mori Epistolarum ad Erasmus Rot. & ad Ioannem Coc.,,,,,,,,,,in: Nicolaus I. Papa: Antiqua et insignis Epistola Nicolai Pape I. ad Michaelem Imperatorem
1002701805,Aal,1688,[Werke],,,,,,,,,,"in: Bion. - [Werke, griech. u. franz. Idyllia]. - Les Idylles de Bion et de Moschus. - [Griech. u. franz.]"
1002739462,Aal,1797,Bucolicon eclogae decem,,,,,,,,,,in: Vergilius: Ländliche Gedichte [lat. u. dt.]
1002740355,Aal,1908,Vergessenes aus der Papierindustrie,,,,,,,,,,"in: Der Papiermarkt. 9. (1908), 4. S. 59 - 60. 4°"
1002740533,Aal,1553,In dominicam precem commentariolum,,,,,,,,,,"in: Vergilius, Polydorus: De rerum inventoribus libri octo"
1002763037,Aal,1893,Verlagskatalog der Bonifacius-Druckerei,,,,,,,,,,"in: Schroeder, J. W.: Promemoria über die Bonifacius-Druckerei ..."
1002774845,Aal,1933,"Vollständiges Verlags-Verzeichnis der Buchhandlung Evangelischer Schriftenvereins A.-G., Karlsruhe i. B., 1883 - 1933",,,,,,,,,,"in: Flügel, Hermann: 50 Jahre Buchhandlung Evangelischer Schriftenverein A.G., ... Karlsruhe i.B."
1002776457,Aal,1884,Le @docteur Ox,,,,,,,,,,in: Verne: Le Tour du monde en quatre-vingts jours
1002782589,Aal,1880,Aventures de 3 Russes et de 3 Anglais,,,,,,,,,,in: Verne: Une ville flottante
1002783666,Aal,1880,Le @Chancellor,,,,,,,,,,in: Verne: Les Index - Noires
1002784328,Aal,1932,"Verordnung über die Annahme, Ausbildung und Prüfung der Volontäre für den wissenschaftlichen Bibliotheksdienst",vom 21. März 1932,,,,,,,,,in: Sächsischen Gesetzblatt. 1932. Nr. 10
1002784549,Aal,1880,Les @Forceurs de blocus,,,,,,,,,,in: Verne: Une ville flottante
1002801923,Aal,1790,Versuch über die Geschichte der Erfindung der Buchdruckerkunst zu Mainz,,,,,,,,,,"in: Zapf, Georg Wilhelm: Aelteste Buchdruckergeschichte von Mainz ... 1790"
1002805449,Aal,1940,Vertrag zwischen dem Börsenverein der Deutschen Buchhändler und der Deutschen Bücherei,,,,,,,,,,in: Gesetz über die Deutsche Bücherei
100283046X,Aal,1939,"Verzeichnis der Veröffentlichungen über Forschungsarbeiten, die mit Unterstützung der Helmholtz-Gesellschaft durchgeführt worden sind",,,,,,,,,,in: Die Helmholtz-Gesellschaft zur Förderung der physikalisch-technischen Forschung im zwanzig Jahren ihres Wirkens
1002832268,Aal,1927,Verzeichnis der in der Edition Peters erschienenen Werke Beethovens,,,,,,,,,,"in: Zum März 26., 1927"
1002837898,Aal,1860,Briefe an den Handschriftenhändler Vespasiano Philippi (Filius) in Florenz,1450 - 1463,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
100285511X,Aal,1681,Der @sterbende Socrates,,,,,,,,,,"in: Hofmann von Hofmannswaldau, Christian: Deutsche Ubersetzungen und Getichte [Teils.] 1679"
100291633X,Aal,1767,"Lyst der boeken, in de Nederlanden gedrukt voorʹt jaar 1500",,,,,,,,,,"in: Meerman, Gerard: Uitvinding der boekdrukkunst [Origines typographicae ..., niederl.]"
1002916550,Aal,1809,"Notice chronologique et raisonnée des livres avec et sans date, imprimés avant lʹannée 1501, dans les 17 provinces des Pays-Bas",,,,,,,,,,"in: Meerman, Gerard: De lʹInvention de lʹimprimerie ... [Origines typographicae et conspectus originum typographicarum ... frz.]"
1002917867,Aal,1681,Pauli Vindingii ad virum amplissimum Johannem Deckherrum Epistola de scriptis nonnullis adespotis,,,,,,,,,,"in: Deckherr, Johannes: De scriptis adespotis, pseudepigraphis, et supposititiis, Conjecturae. Ed. 2. 1681"
1002919908,Aal,1730,Georgii Andreae Vinholdi Programma de quibusdam notis et insignibus bibliopolarum et typographorum,,,,,,,,,,"in: Roth-Scholtz, Friedrich: Thesaurus symbolorum ac emblematum ... 1730"
1002919940,Aal,1555,"Ioannis Ludovici Vivis de conscribendis epistolis, ad Idiaqueum à secretis Caroli V.",,,,,,,,,,"in: Erasmus Roterodamus, Desiderius: De conscribendis epistolis"
1002925665,Aal,1696,Vocabularium barbaro-virgineorum,,,,,,,,,,"in: Luther, Martin: Cathechismus [Katechismus, schwed. u. virgin.] oefwersatt pa American-Virginske spraket"
1002926025,Aal,1857,Das @Zürcherische Diptychon des Consuls Areobindus,,,,,,,,,,in: Zur Feier des 50jährigen Amtsjubiläums Herrn Heinrich Escher ... überreicht
100297710X,Aal,1886,O[dd] V[olumes],"a bibliography of the privately printed opuscula, issued to the Members of the Sette of Odd Volumes",,,,,,,,,"in: Thompson, William Mort: Report of a conversazione given at Willi's Rooms, ... June 8th, 1886"
1003008585,Aal,1728,Churfürstl. Sächs. gnädigst-confirmirte Vormundschaft-Ordnung des Raths zu Dreßden,,,,,1063400406,,,,,"in: Statuta. - Der Chur-Fürstlichen Sächsischen Residenz-Stadt Dreßden Statuta und Stadt-Recht, sammt angehängten Ordnungen"
1003009077,Aal,1822,Lʹ @Essai sur la poésie épique,,,,,,,,,,in: Voltaire: La Henriade
1003011381,Aal,1750,Les @Mensonges officieux,,,,,,,,,,in: Défense des libraires hollandois contre les mensonges imprimez de Mr. de Voltaire
1003036562,Aal,1703,Reise und Beschreibung der Isthmi oder Erd-Enge Darien in Americâ,,,,,,,,,,"in: Dampier, William: Die Reise um die Welt [Voyages and descriptions, dt.]"
1003044107,Aal,1904,Confiskable Erzählungen,,,,,,,,,,in: Rheinischer Most
